Lr: 1.518e-03 | Update: 1.465e-03 mean,2.842e-03 std | Epoch: [0][240/1594] | Time 3.875 (3.783) | Data 0.530 (0.527) | Loss 0.4037 (0.8245) | acc 0.093 (0.052) | IoU 0.090 (0.051) | [11 days, 21:57:29]
Lr: 1.581e-03 | Update: 1.144e-03 mean,2.318e-03 std | Epoch: [0][250/1594] | Time 4.007 (3.791) | Data 0.541 (0.527) | Loss 0.3456 (0.8052) | acc 0.097 (0.053) | IoU 0.094 (0.052) | [11 days, 22:27:19]
Lr: 1.644e-03 | Update: 1.665e-03 mean,3.147e-03 std | Epoch: [0][260/1594] | Time 3.855 (3.796) | Data 0.506 (0.527) | Loss 0.3214 (0.7869) | acc 0.101 (0.055) | IoU 0.098 (0.054) | [11 days, 22:46:21]
Lr: 1.706e-03 | Update: 9.586e-04 mean,1.911e-03 std | Epoch: [0][270/1594] | Time 3.879 (3.801) | Data 0.541 (0.527) | Loss 0.3333 (0.7692) | acc 0.104 (0.057) | IoU 0.102 (0.056) | [11 days, 23:04:11]
Lr: 1.769e-03 | Update: 1.106e-03 mean,2.195e-03 std | Epoch: [0][280/1594] | Time 3.946 (3.805) | Data 0.518 (0.527) | Loss 0.2579 (0.7520) | acc 0.108 (0.059) | IoU 0.105 (0.057) | [11 days, 23:22:42]
Lr: 1.832e-03 | Update: 9.971e-04 mean,2.209e-03 std | Epoch: [0][290/1594] | Time 3.940 (3.810) | Data 0.527 (0.527) | Loss 0.2955 (0.7358) | acc 0.111 (0.060) | IoU 0.109 (0.059) | [11 days, 23:41:30]
Lr: 1.895e-03 | Update: 8.901e-04 mean,1.845e-03 std | Epoch: [0][300/1594] | Time 3.862 (3.815) | Data 0.519 (0.527) | Loss 0.2367 (0.7204) | acc 0.115 (0.062) | IoU 0.112 (0.061) | [12 days, 0:01:06]
Lr: 1.957e-03 | Update: 1.051e-03 mean,2.069e-03 std | Epoch: [0][310/1594] | Time 3.934 (3.822) | Data 0.518 (0.527) | Loss 0.2392 (0.7060) | acc 0.118 (0.064) | IoU 0.115 (0.063) | [12 days, 0:28:51]
Lr: 2.020e-03 | Update: 8.259e-04 mean,1.760e-03 std | Epoch: [0][320/1594] | Time 3.968 (3.827) | Data 0.527 (0.527) | Loss 0.2516 (0.6925) | acc 0.122 (0.066) | IoU 0.119 (0.064) | [12 days, 0:47:53]
Lr: 2.083e-03 | Update: 1.538e-03 mean,2.873e-03 std | Epoch: [0][330/1594] | Time 3.935 (3.832) | Data 0.538 (0.527) | Loss 0.2267 (0.6792) | acc 0.125 (0.067) | IoU 0.122 (0.066) | [12 days, 1:08:17]
